Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PIRATININGA,PADRAO,748,811,"8,30 %",98,86,"-12,24 %","38,74 %","42,14 %","3,40","9,38","7,35","-21,66 %","79,80","110,32","38,25 %","2,22 %","2,76 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PORTO NOVO,PADRAO,,14,,,1,,,"100,00 %","100,00",,"0,01",,,"936,66",,,"0,07 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PORTO VELHO,PADRAO,63,228,"258,32 %",8,27,"237,50 %","39,59 %","38,24 %","-1,35","0,62","3,06","390,96 %","102,02","74,46","-27,02 %","0,23 %","0,90 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PRACA DAS NACOES,TORRE,896,975,"8,75 %",173,112,"-35,26 %","32,23 %","34,86 %","2,63","20,77","15,14","-27,08 %","43,16","64,37","49,13 %","2,77 %","3,02 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PRACA SECA,TORRE,1120,1308,"16,79 %",215,117,"-45,58 %","32,41 %","34,37 %","1,96","24,66","12,61","-48,86 %","45,40","103,70","128,39 %","2,30 %","2,71 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,QUITANDINHA PETROPOLIS,GMAP,183,258,"41,22 %",38,68,"78,95 %","30,58 %","26,04 %","-4,54","4,58","7,29","59,22 %","39,87","35,36","-11,31 %","0,54 %","1,13 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,REALENGO,GMAP,236,30,"-87,32 %",26,3,"-88,46 %","38,19 %","27,45 %","-10,73","4,62","0,50","-89,18 %","51,11","59,88","17,16 %","0,94 %","0,13 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,RETIRO - V.REDONDA,FLORESTA,154,17,"-88,97 %",23,2,"-91,30 %","27,14 %","29,45 %","2,31","3,43","0,58","-82,99 %","44,87","29,11","-35,13 %","0,80 %","0,11 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,RIGAAS - BENFICA,RAMIGOS,21,,"-100,00 %",3,,"-100,00 %","12,73 %",,"-12,73","0,40",,"-100,00 %","52,06",,"-100,00 %","0,14 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,RIO BONITO 2,ALVORADA,41,10,"-75,50 %",7,1,"-85,71 %","35,37 %","45,21 %","9,84","0,50","0,05","-89,52 %","81,13","189,62","133,73 %","0,15 %","0,05 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,RIO DAS PEDRA,TORRE,1442,1023,"-29,05 %",278,117,"-57,91 %","32,28 %","34,72 %","2,44","23,25","13,42","-42,26 %","62,01","76,19","22,87 %","2,08 %","1,49 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,RIO DO OURO,ALVORADA,18,,"-100,00 %",4,,"-100,00 %","37,69 %",,"-37,69","0,42",,"-100,00 %","41,41",,"-100,00 %","0,08 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,ROLAMAO - PINHEIRAL,FLORESTA,300,51,"-83,01 %",42,6,"-85,71 %","18,63 %","29,45 %","10,83","3,92","0,31","-92,14 %","76,54","165,44","116,15 %","1,80 %","0,29 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,S CECILIA - V.REDONDA,FLORESTA,247,,"-100,00 %",35,,"-100,00 %","33,32 %",,"-33,32","4,38",,"-100,00 %","56,48",,"-100,00 %","1,80 %",
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,SANTO CRISTO,GMAP,114,77,"-32,33 %",11,8,"-27,27 %","34,03 %","24,32 %","-9,71","0,81","0,37","-53,89 %","140,33","205,94","46,76 %","0,39 %","0,26 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,SAO CONRADO 1,TORRE,512,280,"-45,31 %",93,42,"-54,84 %","33,06 %","36,17 %","3,11","10,30","3,77","-63,43 %","49,70","74,32","49,52 %","0,77 %","0,45 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,SAO CONRADO 2,TORRE,587,726,"23,66 %",102,60,"-41,18 %","31,20 %","32,86 %","1,66","12,05","5,88","-51,18 %","48,71","123,37","153,28 %","1,60 %","1,84 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,SAO JOAO DE MERITI,GMAP,120,43,"-64,48 %",12,4,"-66,67 %","34,87 %","32,14 %","-2,73","2,80","0,15","-94,74 %","42,77","288,87","575,38 %","0,48 %","0,21 %"
